epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,359.353,2.88005,0.60495,0.85327,4.14675,0.00333275,0.00333275,0.00333275
2,699.312,1.73577,0.72228,0.9095,4.00248,0.00633611,0.00633611,0.00633611
3,1013.58,1.75316,0.72614,0.91366,3.99898,0.00900947,0.00900947,0.00900947
4,1317.69,1.7306,0.75317,0.9305,3.95874,0.008515,0.008515,0.008515
5,1628.42,1.51141,0.77891,0.93594,3.92736,0.00802,0.00802,0.00802
6,1941.86,1.37116,0.79653,0.94307,3.90403,0.007525,0.007525,0.007525
7,2272.71,1.2581,0.80812,0.94713,3.88685,0.00703,0.00703,0.00703
8,2597.42,1.17748,0.81297,0.94941,3.87761,0.006535,0.006535,0.006535
9,2916.04,1.10192,0.8202,0.95228,3.87035,0.00604,0.00604,0.00604
10,3228.07,1.036,0.82406,0.95317,3.86509,0.005545,0.005545,0.005545
11,3593.13,0.981,0.82614,0.95386,3.86112,0.00505,0.00505,0.00505
12,3922.87,0.92341,0.82822,0.95436,3.8574,0.004555,0.004555,0.004555
13,4234.82,0.86989,0.8302,0.95604,3.85368,0.00406,0.00406,0.00406
14,4540.58,0.81899,0.83099,0.95673,3.85055,0.003565,0.003565,0.003565
15,4849.05,0.76621,0.83317,0.95733,3.84772,0.00307,0.00307,0.00307
16,5157.82,0.71719,0.83614,0.95842,3.84494,0.002575,0.002575,0.002575
17,5471.04,0.66417,0.83861,0.9596,3.84221,0.00208,0.00208,0.00208
18,5781.91,0.61271,0.84109,0.9604,3.83955,0.001585,0.001585,0.001585
19,6094.98,0.55276,0.84178,0.96069,3.83687,0.00109,0.00109,0.00109
20,6413.31,0.50687,0.84406,0.96059,3.8343,0.000595,0.000595,0.000595
